===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        1328_cpf_240128_02901.sgf
= Object:      beaconc
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       100
= Min el:      15
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Trim at start: true
= Trim at end:   true
= Sun collision: true
= Sun at start:  false
= Sun at end:    false
= Sun deviation: true
= El deviation: true
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;30687.000000;291.1172;9.5179;;;225.0000;70.0000
60340;30687.100000;291.1174;9.5255;;;225.0000;70.0000
60340;30687.200000;291.1177;9.5331;;;225.0000;70.0000
60340;30687.300000;291.1179;9.5407;;;225.0000;70.0000
60340;30687.400000;291.1181;9.5484;;;225.0000;70.0000
60340;30687.500000;291.1184;9.5560;;;225.0000;70.0000
60340;30687.600000;291.1186;9.5636;;;225.0000;70.0000
60340;30687.700000;291.1188;9.5712;;;225.0000;70.0000
60340;30687.800000;291.1191;9.5788;;;225.0000;70.0000
60340;30687.900000;291.1193;9.5864;;;225.0000;70.0000
60340;30688.000000;291.1195;9.5940;;;225.0000;70.0000
60340;30688.100000;291.1198;9.6016;;;225.0000;70.0000
60340;30688.200000;291.1200;9.6093;;;225.0000;70.0000
60340;30688.300000;291.1203;9.6169;;;225.0000;70.0000
60340;30688.400000;291.1205;9.6245;;;225.0000;70.0000
60340;30688.500000;291.1207;9.6322;;;225.0000;70.0000
60340;30688.600000;291.1210;9.6398;;;225.0000;70.0000
60340;30688.700000;291.1212;9.6474;;;225.0000;70.0000
60340;30688.800000;291.1214;9.6551;;;225.0000;70.0000
60340;30688.900000;291.1217;9.6627;;;225.0000;70.0000
60340;30689.000000;291.1219;9.6703;;;225.0000;70.0000
60340;30689.100000;291.1221;9.6780;;;225.0000;70.0000
60340;30689.200000;291.1224;9.6856;;;225.0000;70.0000
60340;30689.300000;291.1226;9.6933;;;225.0000;70.0000
60340;30689.400000;291.1228;9.7009;;;225.0000;70.0000
60340;30689.500000;291.1231;9.7086;;;225.0000;70.0000
60340;30689.600000;291.1233;9.7162;;;225.0000;70.0000
60340;30689.700000;291.1235;9.7239;;;225.0000;70.0000
60340;30689.800000;291.1238;9.7315;;;225.0000;70.0000
60340;30689.900000;291.1240;9.7392;;;225.0000;70.0000
60340;30690.000000;291.1243;9.7469;;;225.0000;70.0000
60340;30690.100000;291.1245;9.7545;;;225.0000;70.0000
60340;30690.200000;291.1247;9.7622;;;225.0000;70.0000
60340;30690.300000;291.1250;9.7699;;;225.0000;70.0000
60340;30690.400000;291.1252;9.7775;;;225.0000;70.0000
60340;30690.500000;291.1254;9.7852;;;225.0000;70.0000
60340;30690.600000;291.1257;9.7929;;;225.0000;70.0000
60340;30690.700000;291.1259;9.8006;;;225.0000;70.0000
60340;30690.800000;291.1261;9.8083;;;225.0000;70.0000
60340;30690.900000;291.1264;9.8159;;;225.0000;70.0000
60340;30691.000000;291.1266;9.8236;;;225.0000;70.0000
60340;30691.100000;291.1268;9.8313;;;225.0000;70.0000
60340;30691.200000;291.1271;9.8390;;;225.0000;70.0000
