===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        38077_cpf_240128_02901.sgf
= Object:      lares
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       500
= Min el:      15
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Trim at start: true
= Trim at end:   false
= Sun collision: true
= Sun at start:  true
= Sun at end:    false
= Sun deviation: false
= El deviation: false
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;56726.000000;227.0006;9.4315;;;227.9011;20.3371
60340;56726.500000;227.0203;9.4623;;;227.9027;20.3358
60340;56727.000000;227.0400;9.4931;;;227.9044;20.3346
60340;56727.500000;227.0598;9.5239;;;227.9060;20.3333
60340;56728.000000;227.0796;9.5548;;;227.9077;20.3321
60340;56728.500000;227.0995;9.5856;;;227.9094;20.3309
60340;56729.000000;227.1194;9.6166;;;227.9110;20.3296
60340;56729.500000;227.1393;9.6475;;;227.9127;20.3284
60340;56730.000000;227.1592;9.6784;;;227.9143;20.3271
60340;56730.500000;227.1792;9.7094;;;227.9160;20.3259
60340;56731.000000;227.1992;9.7404;;;227.9176;20.3246
60340;56731.500000;227.2193;9.7714;;;227.9193;20.3234
60340;56732.000000;227.2393;9.8025;;;227.9209;20.3222
60340;56732.500000;227.2595;9.8336;;;227.9226;20.3209
60340;56733.000000;227.2796;9.8647;;;227.9243;20.3197
60340;56733.500000;227.2998;9.8958;;;227.9259;20.3184
60340;56734.000000;227.3200;9.9269;;;227.9276;20.3172
60340;56734.500000;227.3402;9.9581;;;227.9292;20.3160
60340;56735.000000;227.3605;9.9893;;;227.9309;20.3147
60340;56735.500000;227.3808;10.0205;;;227.9325;20.3135
60340;56736.000000;227.4011;10.0518;;;227.9342;20.3122
60340;56736.500000;227.4215;10.0831;;;227.9358;20.3110
60340;56737.000000;227.4419;10.1144;;;227.9375;20.3097
60340;56737.500000;227.4623;10.1457;;;227.9391;20.3085
60340;56738.000000;227.4827;10.1770;;;227.9408;20.3073
60340;56738.500000;227.5032;10.2084;;;227.9425;20.3060
60340;56739.000000;227.5238;10.2398;;;227.9441;20.3048
60340;56739.500000;227.5443;10.2712;;;227.9458;20.3035
60340;56740.000000;227.5649;10.3027;;;227.9474;20.3023
60340;56740.500000;227.5856;10.3341;;;227.9491;20.3010
60340;56741.000000;227.6062;10.3656;;;227.9507;20.2998
60340;56741.500000;227.6269;10.3972;;;227.9524;20.2986
60340;56742.000000;227.6476;10.4287;;;227.9540;20.2973
60340;56742.500000;227.6684;10.4603;;;227.9557;20.2961
60340;56743.000000;227.6892;10.4919;;;227.9573;20.2948
60340;56743.500000;227.7100;10.5235;;;227.9590;20.2936
60340;56744.000000;227.7309;10.5551;;;227.9606;20.2923
60340;56744.500000;227.7518;10.5868;;;227.9623;20.2911
60340;56745.000000;227.7727;10.6185;;;227.9640;20.2899
60340;56745.500000;227.7937;10.6502;;;227.9656;20.2886
60340;56746.000000;227.8147;10.6820;;;227.9673;20.2874
60340;56746.500000;227.8357;10.7138;;;227.9689;20.2861
60340;56747.000000;227.8568;10.7456;;;227.9706;20.2849
60340;56747.500000;227.8779;10.7774;;;227.9722;20.2836
60340;56748.000000;227.8990;10.8093;;;227.9739;20.2824
60340;56748.500000;227.9202;10.8411;;;227.9755;20.2812
60340;56749.000000;227.9414;10.8730;;;227.9772;20.2799
60340;56749.500000;227.9627;10.9050;;;227.9788;20.2787
60340;56750.000000;227.9839;10.9369;;;227.9805;20.2774
60340;56750.500000;228.0052;10.9689;;;227.9821;20.2762
60340;56751.000000;228.0266;11.0009;;;227.9838;20.2749
60340;56751.500000;228.0480;11.0330;;;227.9855;20.2737
60340;56752.000000;228.0694;11.0650;;;227.9871;20.2724
60340;56752.500000;228.0908;11.0971;;;227.9888;20.2712
60340;56753.000000;228.1123;11.1292;;;227.9904;20.2700
60340;56753.500000;228.1339;11.1614;;;227.9921;20.2687
60340;56754.000000;228.1554;11.1935;;;227.9937;20.2675
60340;56754.500000;228.1770;11.2257;;;227.9954;20.2662
60340;56755.000000;228.1987;11.2579;;;227.9970;20.2650
60340;56755.500000;228.2203;11.2902;;;227.9987;20.2637
60340;56756.000000;228.2420;11.3225;;;228.0003;20.2625
60340;56756.500000;228.2638;11.3548;;;228.0020;20.2613
60340;56757.000000;228.2855;11.3871;;;228.0036;20.2600
60340;56757.500000;228.3074;11.4194;;;228.0053;20.2588
60340;56758.000000;228.3292;11.4518;;;228.0069;20.2575
60340;56758.500000;228.3511;11.4842;;;228.0086;20.2563
60340;56759.000000;228.3730;11.5166;;;228.0102;20.2550
60340;56759.500000;228.3950;11.5491;;;228.0119;20.2538
60340;56760.000000;228.4170;11.5816;;;228.0136;20.2526
