===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        1328_cpf_240128_02901.sgf
= Object:      beaconc
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       100
= Min el:      15
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Trim at start: true
= Trim at end:   true
= Sun collision: true
= Sun at start:  false
= Sun at end:    true
= Sun deviation: false
= El deviation: false
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;30687.000000;291.1172;9.5179;;;121.3030;10.6863
60340;30687.100000;291.1174;9.5255;;;121.3033;10.6866
60340;30687.200000;291.1177;9.5331;;;121.3036;10.6869
60340;30687.300000;291.1179;9.5407;;;121.3039;10.6872
60340;30687.400000;291.1181;9.5484;;;121.3042;10.6875
60340;30687.500000;291.1184;9.5560;;;121.3044;10.6877
60340;30687.600000;291.1186;9.5636;;;121.3047;10.6880
60340;30687.700000;291.1188;9.5712;;;121.3050;10.6883
60340;30687.800000;291.1191;9.5788;;;121.3053;10.6886
60340;30687.900000;291.1193;9.5864;;;121.3056;10.6889
60340;30688.000000;291.1195;9.5940;;;121.3058;10.6892
60340;30688.100000;291.1198;9.6016;;;121.3061;10.6895
60340;30688.200000;291.1200;9.6093;;;121.3064;10.6897
60340;30688.300000;291.1203;9.6169;;;121.3067;10.6900
60340;30688.400000;291.1205;9.6245;;;121.3070;10.6903
60340;30688.500000;291.1207;9.6322;;;121.3072;10.6906
60340;30688.600000;291.1210;9.6398;;;121.3075;10.6909
60340;30688.700000;291.1212;9.6474;;;121.3078;10.6912
60340;30688.800000;291.1214;9.6551;;;121.3081;10.6915
60340;30688.900000;291.1217;9.6627;;;121.3084;10.6917
60340;30689.000000;291.1219;9.6703;;;121.3086;10.6920
60340;30689.100000;291.1221;9.6780;;;121.3089;10.6923
60340;30689.200000;291.1224;9.6856;;;121.3092;10.6926
60340;30689.300000;291.1226;9.6933;;;121.3095;10.6929
60340;30689.400000;291.1228;9.7009;;;121.3098;10.6932
60340;30689.500000;291.1231;9.7086;;;121.3100;10.6935
60340;30689.600000;291.1233;9.7162;;;121.3103;10.6938
60340;30689.700000;291.1235;9.7239;;;121.3106;10.6940
60340;30689.800000;291.1238;9.7315;;;121.3109;10.6943
60340;30689.900000;291.1240;9.7392;;;121.3112;10.6946
60340;30690.000000;291.1243;9.7469;;;121.3114;10.6949
60340;30690.100000;291.1245;9.7545;;;121.3117;10.6952
60340;30690.200000;291.1247;9.7622;;;121.3120;10.6955
60340;30690.300000;291.1250;9.7699;;;121.3123;10.6958
60340;30690.400000;291.1252;9.7775;;;121.3126;10.6960
60340;30690.500000;291.1254;9.7852;;;121.3128;10.6963
60340;30690.600000;291.1257;9.7929;;;121.3131;10.6966
60340;30690.700000;291.1259;9.8006;;;121.3134;10.6969
60340;30690.800000;291.1261;9.8083;;;121.3137;10.6972
60340;30690.900000;291.1264;9.8159;;;121.3140;10.6975
60340;30691.000000;291.1266;9.8236;;;121.3142;10.6978
60340;30691.100000;291.1268;9.8313;;;121.3145;10.6981
60340;30691.200000;291.1271;9.8390;;;121.3148;10.6983
60340;30691.300000;291.1273;9.8467;;;121.3151;10.6986
60340;30691.400000;291.1275;9.8544;;;121.3154;10.6989
60340;30691.500000;291.1278;9.8621;;;121.3156;10.6992
60340;30691.600000;291.1280;9.8698;;;121.3159;10.6995
