===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        41240_cpf_240128_02801.hts
= Object:      jason3NONE
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       1000
= Min el:      15
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Trim at start: false
= Trim at end:   false
= Sun collision: true
= Sun at start:  false
= Sun at end:    false
= Sun deviation: true
= El deviation: false
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;42140.000000;328.6228;9.8108;328.6228;9.8108;163.7851;34.5001
60340;42141.000000;328.6148;9.8786;328.6148;9.8786;163.7898;34.5011
60340;42142.000000;328.6067;9.9466;328.6067;9.9466;163.7945;34.5020
60340;42143.000000;328.5986;10.0146;328.5986;10.0146;163.7992;34.5029
60340;42144.000000;328.5904;10.0829;328.5904;10.0829;163.8039;34.5039
60340;42145.000000;328.5822;10.1512;328.5822;10.1512;163.8086;34.5048
60340;42146.000000;328.5740;10.2197;328.5740;10.2197;163.8133;34.5058
60340;42147.000000;328.5657;10.2884;328.5657;10.2884;163.8180;34.5067
60340;42148.000000;328.5573;10.3572;328.5573;10.3572;163.8226;34.5076
60340;42149.000000;328.5489;10.4261;328.5489;10.4261;163.8273;34.5086
60340;42150.000000;328.5405;10.4952;328.5405;10.4952;163.8320;34.5095
60340;42151.000000;328.5320;10.5644;328.5320;10.5644;163.8367;34.5104
60340;42152.000000;328.5234;10.6338;328.5234;10.6338;163.8414;34.5114
60340;42153.000000;328.5148;10.7033;328.5148;10.7033;163.8461;34.5123
60340;42154.000000;328.5062;10.7729;328.5062;10.7729;163.8508;34.5132
60340;42155.000000;328.4975;10.8427;328.4975;10.8427;163.8555;34.5142
60340;42156.000000;328.4888;10.9127;328.4888;10.9127;163.8601;34.5151
60340;42157.000000;328.4800;10.9828;328.4800;10.9828;163.8648;34.5161
60340;42158.000000;328.4712;11.0531;328.4712;11.0531;163.8695;34.5170
60340;42159.000000;328.4623;11.1235;328.4623;11.1235;163.8742;34.5179
60340;42160.000000;328.4534;11.1940;328.4534;11.1940;163.8789;34.5189
60340;42161.000000;328.4444;11.2647;328.4444;11.2647;163.8836;34.5198
60340;42162.000000;328.4354;11.3356;328.4354;11.3356;163.8883;34.5207
60340;42163.000000;328.4263;11.4066;328.4263;11.4066;163.8930;34.5217
60340;42164.000000;328.4172;11.4778;328.4172;11.4778;163.8977;34.5226
60340;42165.000000;328.4080;11.5491;328.4080;11.5491;163.9023;34.5235
60340;42166.000000;328.3988;11.6206;328.3988;11.6206;163.9070;34.5245
60340;42167.000000;328.3895;11.6922;328.3895;11.6922;163.9117;34.5254
60340;42168.000000;328.3801;11.7640;328.3801;11.7640;163.9164;34.5263
60340;42169.000000;328.3708;11.8359;328.3708;11.8359;163.9211;34.5272
60340;42170.000000;328.3613;11.9080;328.3613;11.9080;163.9258;34.5282
60340;42171.000000;328.3518;11.9803;328.3518;11.9803;163.9305;34.5291
60340;42172.000000;328.3423;12.0527;328.3423;12.0527;163.9352;34.5300
60340;42173.000000;328.3327;12.1253;328.3327;12.1253;163.9399;34.5310
60340;42174.000000;328.3230;12.1981;328.3230;12.1981;163.9446;34.5319
60340;42175.000000;328.3133;12.2710;328.3133;12.2710;163.9493;34.5328
