===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        38077_cpf_240128_02901.sgf
= Object:      lares
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       1000
= Min el:      8
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Sun collision: true
= Sun at start:  true
= Sun at end:    false
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;56726.000000;227.0006;9.4315;;;227.9011;20.3371
60340;56727.000000;227.0400;9.4931;;;227.9044;20.3346
60340;56728.000000;227.0796;9.5548;;;227.9077;20.3321
60340;56729.000000;227.1194;9.6166;;;227.9110;20.3296
60340;56730.000000;227.1592;9.6784;;;227.9143;20.3271
60340;56731.000000;227.1992;9.7404;;;227.9176;20.3246
60340;56732.000000;227.2393;9.8025;;;227.9209;20.3222
60340;56733.000000;227.2796;9.8647;;;227.9243;20.3197
60340;56734.000000;227.3200;9.9269;;;227.9276;20.3172
60340;56735.000000;227.3605;9.9893;;;227.9309;20.3147
60340;56736.000000;227.4011;10.0518;;;227.9342;20.3122
60340;56737.000000;227.4419;10.1144;;;227.9375;20.3097
60340;56738.000000;227.4827;10.1770;;;227.9408;20.3073
60340;56739.000000;227.5238;10.2398;;;227.9441;20.3048
60340;56740.000000;227.5649;10.3027;;;227.9474;20.3023
60340;56741.000000;227.6062;10.3656;;;227.9507;20.2998
60340;56742.000000;227.6476;10.4287;;;227.9540;20.2973
60340;56743.000000;227.6892;10.4919;;;227.9573;20.2948
60340;56744.000000;227.7309;10.5551;;;227.9606;20.2923
60340;56745.000000;227.7727;10.6185;;;227.9640;20.2899
60340;56746.000000;227.8147;10.6820;;;227.9673;20.2874
60340;56747.000000;227.8568;10.7456;;;227.9706;20.2849
60340;56748.000000;227.8990;10.8093;;;227.9739;20.2824
60340;56749.000000;227.9414;10.8730;;;227.9772;20.2799
60340;56750.000000;227.9839;10.9369;;;227.9805;20.2774
60340;56751.000000;228.0266;11.0009;;;227.9838;20.2749
60340;56752.000000;228.0694;11.0650;;;227.9871;20.2724
60340;56753.000000;228.1123;11.1292;;;227.9904;20.2700
60340;56754.000000;228.1554;11.1935;;;227.9937;20.2675
60340;56755.000000;228.1987;11.2579;;;227.9970;20.2650
60340;56756.000000;228.2420;11.3225;;;228.0003;20.2625
60340;56757.000000;228.2855;11.3871;;;228.0036;20.2600
60340;56758.000000;228.3292;11.4518;;;228.0069;20.2575
60340;56759.000000;228.3730;11.5166;;;228.0102;20.2550
60340;56760.000000;228.4170;11.5816;;;228.0136;20.2526
60340;56761.000000;228.4611;11.6466;;;228.0169;20.2501
60340;56762.000000;228.5053;11.7118;;;228.0202;20.2476
60340;56763.000000;228.5497;11.7770;;;228.0235;20.2451
60340;56764.000000;228.5943;11.8424;;;228.0268;20.2426
60340;56765.000000;228.6390;11.9079;;;228.0301;20.2401
60340;56766.000000;228.6838;11.9735;;;228.0334;20.2376
60340;56767.000000;228.7288;12.0392;;;228.0367;20.2351
60340;56768.000000;228.7740;12.1050;;;228.0400;20.2326
60340;56769.000000;228.8193;12.1709;;;228.0433;20.2302
60340;56770.000000;228.8648;12.2369;;;228.0466;20.2277
60340;56771.000000;228.9104;12.3031;;;228.0499;20.2252
60340;56772.000000;228.9562;12.3693;;;228.0532;20.2227
60340;56773.000000;229.0021;12.4357;;;228.0565;20.2202
60340;56774.000000;229.0482;12.5022;;;228.0598;20.2177
60340;56775.000000;229.0945;12.5687;;;228.0631;20.2152
60340;56776.000000;229.1409;12.6354;;;228.0664;20.2127
60340;56777.000000;229.1875;12.7022;;;228.0697;20.2102
60340;56778.000000;229.2342;12.7692;;;228.0730;20.2077
60340;56779.000000;229.2811;12.8362;;;228.0763;20.2053
60340;56780.000000;229.3282;12.9034;;;228.0796;20.2028
60340;56781.000000;229.3754;12.9706;;;228.0829;20.2003
60340;56782.000000;229.4228;13.0380;;;228.0862;20.1978
60340;56783.000000;229.4703;13.1055;;;228.0895;20.1953
60340;56784.000000;229.5181;13.1731;;;228.0928;20.1928
60340;56785.000000;229.5660;13.2408;;;228.0961;20.1903
60340;56786.000000;229.6140;13.3087;;;228.0994;20.1878
60340;56787.000000;229.6623;13.3766;;;228.1027;20.1853
60340;56788.000000;229.7107;13.4447;;;228.1060;20.1828
60340;56789.000000;229.7592;13.5129;;;228.1093;20.1803
60340;56790.000000;229.8080;13.5812;;;228.1126;20.1779
60340;56791.000000;229.8569;13.6496;;;228.1159;20.1754
60340;56792.000000;229.9060;13.7181;;;228.1192;20.1729
60340;56793.000000;229.9553;13.7868;;;228.1225;20.1704
60340;56794.000000;230.0047;13.8556;;;228.1258;20.1679
60340;56795.000000;230.0544;13.9245;;;228.1291;20.1654
60340;56796.000000;230.1042;13.9935;;;228.1324;20.1629
60340;56797.000000;230.1541;14.0626;;;228.1357;20.1604
60340;56798.000000;230.2043;14.1319;;;228.1390;20.1579
60340;56799.000000;230.2546;14.2012;;;228.1423;20.1554
60340;56800.000000;230.3052;14.2707;;;228.1456;20.1529
60340;56801.000000;230.3559;14.3404;;;228.1489;20.1504
60340;56802.000000;230.4068;14.4101;;;228.1522;20.1479
60340;56803.000000;230.4579;14.4800;;;228.1555;20.1454
60340;56804.000000;230.5091;14.5499;;;228.1588;20.1430
60340;56805.000000;230.5606;14.6200;;;228.1621;20.1405
60340;56806.000000;230.6122;14.6903;;;228.1654;20.1380
60340;56807.000000;230.6641;14.7606;;;228.1687;20.1355
60340;56808.000000;230.7161;14.8311;;;228.1720;20.1330
60340;56809.000000;230.7683;14.9017;;;228.1753;20.1305
60340;56810.000000;230.8207;14.9724;;;228.1786;20.1280
60340;56811.000000;230.8733;15.0433;;;228.1819;20.1255
60340;56812.000000;230.9261;15.1142;;;228.1852;20.1230
60340;56813.000000;230.9791;15.1853;;;228.1885;20.1205
60340;56814.000000;231.0323;15.2566;;;228.1918;20.1180
60340;56815.000000;231.0857;15.3279;;;228.1951;20.1155
60340;56816.000000;231.1393;15.3994;;;228.1984;20.1130
60340;56817.000000;231.1931;15.4710;;;228.2017;20.1105
60340;56818.000000;231.2471;15.5427;;;228.2050;20.1080
60340;56819.000000;231.3013;15.6146;;;228.2083;20.1055
60340;56820.000000;231.3556;15.6866;;;228.2116;20.1030
